10000011,0.766
00100111,0.803
10010001,0.632
01100100,0.541
00110111,0.847
01101011,0.546
01011001,0.432
11011010,0.373
11000001,0.750
11101100,0.673
11111011,0.528
00111111,0.777
00011001,0.617
11001000,0.632
11000100,0.589
01001001,0.316
22211100,0.167
01000110,0.440
10010111,0.460
00100011,0.840
22221021,0.241
22220120,0.653
11000111,0.426
00000010,0.347
11001100,0.681
20120120,0.662
00000101,0.573
11011011,0.382
22220121,0.372
01100010,0.776
21021021,0.252
20120021,0.645
20121020,0.557
01011100,0.464
00101010,0.242
10011101,0.642
01001000,0.605
00001010,0.605
01011111,0.824
11001001,0.456
10000001,0.464
11010001,0.623
10011111,0.847
00011011,0.598
00101101,0.664
00110101,0.849
22210000,0.232
11010010,0.327
00001000,0.417
20021020,0.591
22200111,0.802
11110110,0.605
00110010,0.809
00001001,0.633
22222201,0.712
01111110,0.780
10110111,0.804
10101000,0.448
10111101,0.525
11010101,0.374
01111011,0.656
11111110,0.550
11001111,0.493
20020120,0.639
10010101,0.533
11010000,0.104
11001011,0.538
00111101,0.782
21020121,0.390
00010101,0.327
22201111,0.730
11011101,0.763
10101010,0.846
01110111,0.767
10001111,0.468
00010001,0.534
20020020,0.140
01010010,0.274
22201001,0.401
01000000,0.209
01111101,0.751
10011000,0.212
11000000,0.183
11101001,0.321
00110100,0.681
00100000,0.303
01001101,0.576
10111100,0.552
22210001,0.453
00101001,0.364
10100001,0.264
22222220,0.105
11100000,0.099
21120120,0.584
10110011,0.584
10100100,0.842
10110010,0.282
01010001,0.552
00001011,0.645
01011101,0.332
10000110,0.410
10010011,0.861
11010011,0.654
22222210,0.342
22200110,0.840
00111010,0.333
01110010,0.477
01001010,0.511
11000011,0.676
11110000,0.302
21121121,0.930
01010110,0.709
20020021,0.672
00000110,0.595
01000111,0.500
10001010,0.301
01110000,0.173
10001110,0.165
11110100,0.566
10010000,0.187
10001101,0.611
00010010,0.131
10111110,0.692
22201000,0.846
11101000,0.275
10101100,0.635
22220021,0.774
22210010,0.176
01010011,0.651
21020021,0.415
20021021,0.527
10100101,0.476
01100101,0.772
10011110,0.241
00100001,0.741
01111010,0.403
10011001,0.751
01101001,0.497
10010110,0.286
11110001,0.440
22210100,0.600
00000100,0.593
10001001,0.321
00010111,0.920
21121120,0.473
01001011,0.565
11000101,0.800
00011010,0.660
10111111,0.883
11100110,0.548
22200101,0.586
00011100,0.146
11000110,0.800
00110110,0.784
00010011,0.560
22222122,0.778
11010110,0.411
22221120,0.240
22211101,0.705
01110001,0.658
20120121,0.657
22211111,0.929
00100010,0.268
01010101,0.305
00100110,0.638
01101110,0.613
22221121,0.740
22222222,0.195
22222022,0.119
10111000,0.074
01101101,0.780
20021120,0.294
00111100,0.576
11110011,0.858
10111001,0.851
00110011,0.414
22222200,0.147
00111110,0.305
01011110,0.451
20121121,0.622
11010100,0.688
00011101,0.274
00110001,0.727
10000000,0.124
01110101,0.669
22222211,0.902
00100101,0.731
21021120,0.481
10010100,0.394
01101000,0.644
00011000,0.668
11110010,0.290
01010100,0.288
11111010,0.321
22210110,0.808
21021020,0.712
22022122,0.479
01011010,0.324
22211010,0.619
01100110,0.603
00001110,0.338
21121021,0.402
22122122,0.820
10100111,0.621
01110110,0.678
10001011,0.732
22211110,0.385
10110001,0.760
01010000,0.285
01101010,0.713
10100011,0.876
00111001,0.461
10000100,0.413
10000111,0.900
22122022,0.270
22200100,0.745
22200011,0.793
11011000,0.276
00011110,0.336
00001101,0.433
10101011,0.944
11100001,0.720
21120121,0.765
01011000,0.491
00101000,0.534
11001110,0.600
10100110,0.778
22201110,0.310
11100010,0.508
01101100,0.710
11111100,0.284
01000001,0.528
11111111,0.958
01100011,0.940
01111001,0.566
22201101,0.643
11011100,0.398
11001010,0.649
22211000,0.500
01000010,0.392
10011011,0.696
11001101,0.418
10110101,0.722
01110011,0.683
00100100,0.720
00001111,0.738
00001100,0.270
10111011,0.750
22201010,0.772
01001110,0.453
10101111,0.640
00111000,0.298
11101011,0.677
10001100,0.329
01000011,0.909
11101110,0.452
00000000,0.104
10110110,0.679
22221020,0.687
00010110,0.643
21120021,0.897
11110111,0.898
01100001,0.777
20121120,0.651
00111011,0.391
21020020,0.241
11111001,0.781
00000011,0.850
11101010,0.565
11101101,0.525
00101100,0.758
11101111,0.796
00101110,0.839
22022022,0.092
10001000,0.886
01001100,0.560
11000010,0.345
01111000,0.385
10110000,0.286
00010000,0.258
20121021,0.320
10000101,0.496
01000100,0.444
22211011,0.479
10110100,0.659
11011001,0.401
22220020,0.159
00101111,0.809
22210011,0.528
22200010,0.291
10010010,0.094
01111111,0.811
22210111,0.808
22210101,0.689
01101111,0.866
10101110,0.747
22211001,0.527
01111100,0.418
10000010,0.190
01000101,0.579
10011100,0.262
11100011,0.934
00000001,0.582
11111101,0.727
20020121,0.390
01001111,0.579
00110000,0.350
01110100,0.773
00010100,0.098
01011011,0.372
10100000,0.286
10100010,0.851
11011111,0.793
11100111,0.961
00011111,0.881
01100000,0.201
11011110,0.710
11110101,0.660
20120020,0.196
22200000,0.168
10011010,0.458
20021121,0.714
00000111,0.693
22201100,0.641
00101011,0.652
21120020,0.125
21121020,0.499
22222221,0.734
10101001,0.192
01010111,0.601
01100111,0.940
11111000,0.106
11010111,0.530
10101101,0.548
10111010,0.397
21020120,0.330
11100101,0.495
22200001,0.729
21021121,0.503
22201011,0.685
11100100,0.804
